"name","en","Column1","ja",
"Adam","Intuitive, broadminded, and generous. People named Adam have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Adam 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Adamと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Aiden","Smart, ambitious, and trustworthy. People named Aiden have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Aiden 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Aidenと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Alex","Powerful, creative, and determined. People named Alex have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Alex 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Alexと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Alfie","Intuitive, broadminded, and generous. People named Alfie have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Alfie 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Alfieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Archer","Smart, ambitious, and trustworthy. People named Archer have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Archer 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Archerと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Archie","Dynamic, visionary, and versatile. People named Archie fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Archie 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Archieと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Ben","Smart, ambitious, and trustworthy. People named Ben have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Ben 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Benと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Blake","Dynamic, visionary, and versatile. People named Blake fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Blake 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Blakeと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Caleb","Intuitive, broadminded, and generous. People named Caleb have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Caleb 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Calebと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Cameron","Powerful, creative, and determined. People named Cameron have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Cameron 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Cameronと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Carter","Courageous, adventurous, and loving. People named Carter are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Carter 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Carterと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
