"name","en","ko","ja",
"Abbey","Dynamic, visionary, and versatile. People named Abbey fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Abbey 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Abbeyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Abigail","Courageous, adventurous, and loving. People named Abigail are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Abigail 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Abigailと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Alice","Smart, ambitious, and trustworthy. People named Alice have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Alice 이라는 사람은 매우 강력하고 창조적이며, 안정적이고 사랑이 넘치는, 가정이나 공동체를 추구합니다. 그러므로 아무대가 없이 주변 사람들을 돕는 것을 좋아합니다.","強力で、創造的で、決定された Aliceと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Amelia","Intuitive, broadminded, and generous. People named Amelia have an inner need for peace, a desire to understand and analyze the world they live in, and learn deeper truths.","Amelia 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Ameliaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Amy","Smart, ambitious, and trustworthy. People named Amy have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Amy 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Amyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Aria","Dynamic, visionary, and versatile. People named Aria fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Aria 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Ariaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Ashley","Powerful, creative, and determined. People named Ashley have an inner desire for a stable, loving family or community, and a enjoy helping others without expecting anything in return.","Ashley 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Ashleyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Ava","Dynamic, visionary, and versatile. People named Ava fight being restricted by rules and conventions, and tend to make friends easily no matter where they are in life.","Ava 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Avaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Bella","Courageous, adventurous, and loving. People named Bella are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Bella 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Bellaと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Caitlin","Smart, ambitious, and trustworthy. People named Caitlin have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Caitlin 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Caitlinと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Cathy","Courageous, adventurous, and loving. People named Cathy are unique, creative individuals, tend to have a strong sense of pride in what they do, and can separate right from wrong.","Cathy 이라는 사람들은 사랑스럽고 모험심과 용기가 있습니다. 또한, 독창적이고, 본인이 하고 있는 일에 대하여 자부심을 느끼는 경향이 있으며 잘못된 부분을 지적 할 수 있는 능력이 있습니다.","強力で、創造的で、決定された Cathyと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Charlotte","Smart, ambitious, and trustworthy. People named Charlotte have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Charlotte 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Charlotteと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
"Chloe","Smart, ambitious, and trustworthy. People named Chloe have a magnetic personality, value honesty above all else, and most importantly love a good friend they can trust for life.","Chloe 이라는 사람들은 똑똑하고 야망이 있으며, 신뢰성이 높은 사람입니다. 붙임성있는 성격을 가지고 있으며, 대인관계에 있어서 다른 것 보다  솔직함을 중요시합니다. 한번 인연이 되면 그 관계를 소중히 여기므로 오래 지속하기 위해 노력합니다.","強力で、創造的で、決定された Chloeと名付けられた人々は、安定した、愛する家族やコミュニティの内なる欲望と、何も期待せずに他人を助ける楽しさを持っています。",
